transcript_id,date,call_type,account_segment,source,transcript_text
SYN-001,2026-01-05,external,Enterprise,synthetic_take_home_bootstrap,"Casey: Thanks for joining. I want to focus on integration, priority, feature request.
Jordan: The product works, but the missing API integration limits adoption in finance.
Casey: The account team captured the feature request and asked product to validate roadmap fit.
Jordan: The most important next step is clear ownership and a timeline.
Casey: I will summarize actions, owners, and risks in the follow-up note."
SYN-002,2026-01-06,internal,Enterprise,synthetic_take_home_bootstrap,"Sam: Thanks for joining. I want to focus on handoff, incident, escalation.
Avery: Internal teams disagreed on ownership while a high-priority customer escalation aged.
Sam: Engineering, support, and product aligned on the root cause and named a single owner.
Avery: The most important next step is clear ownership and a timeline.
Sam: I will summarize actions, owners, and risks in the follow-up note."
SYN-003,2026-01-07,support,Enterprise,synthetic_take_home_bootstrap,"Riley: Thanks for joining. I want to focus on blocked, export, workflow.
Sam: The approval workflow is powerful, but permissions are confusing for regional admins.
Riley: Support walked through the configuration and tagged the product team on the export issue.
Sam: The most important next step is clear ownership and a timeline.
Riley: I will summarize actions, owners, and risks in the follow-up note."
SYN-004,2026-01-08,support,Strategic,synthetic_take_home_bootstrap,"Avery: Thanks for joining. I want to focus on setup, workflow, configuration.
Devon: The approval workflow is powerful, but permissions are confusing for regional admins.
Avery: Support walked through the configuration and tagged the product team on the export issue.
Devon: The most important next step is clear ownership and a timeline.
Avery: I will summarize actions, owners, and risks in the follow-up note."
SYN-005,2026-01-09,external,Mid-Market,synthetic_take_home_bootstrap,"Taylor: Thanks for joining. I want to focus on renewal, cancel, risk.
Avery: The renewal is at risk because budget is tight and a competitor promised faster onboarding.
Taylor: The account manager proposed an executive review and success plan before procurement starts.
Avery: The most important next step is clear ownership and a timeline.
Taylor: I will summarize actions, owners, and risks in the follow-up note."
SYN-006,2026-01-10,external,Strategic,synthetic_take_home_bootstrap,"Casey: Thanks for joining. I want to focus on renewal, cancel, risk.
Devon: The renewal is at risk because budget is tight and a competitor promised faster onboarding.
Casey: The account manager proposed an executive review and success plan before procurement starts.
Devon: The most important next step is clear ownership and a timeline.
Casey: I will summarize actions, owners, and risks in the follow-up note."
SYN-007,2026-01-11,internal,Commercial,synthetic_take_home_bootstrap,"Jordan: Thanks for joining. I want to focus on trend, recommendation, insight.
Taylor: Product managers reviewed recurring feedback and found repeated friction in onboarding.
Jordan: The team grouped customer evidence by product area and created recommendations for the next sprint.
Taylor: The most important next step is clear ownership and a timeline.
Jordan: I will summarize actions, owners, and risks in the follow-up note."
SYN-008,2026-01-12,external,Enterprise,synthetic_take_home_bootstrap,"Avery: Thanks for joining. I want to focus on integration, roadmap, feature request.
Sam: The product works, but the missing API integration limits adoption in finance.
Avery: The account team captured the feature request and asked product to validate roadmap fit.
Sam: The most important next step is clear ownership and a timeline.
Avery: I will summarize actions, owners, and risks in the follow-up note."
SYN-009,2026-01-13,internal,Enterprise,synthetic_take_home_bootstrap,"Sam: Thanks for joining. I want to focus on roadmap, tradeoff, prioritization.
Morgan: The planning discussion centered on tradeoffs between roadmap commitments and reliability work.
Sam: Leads agreed to reserve capacity for customer-impacting issues and publish the decision log.
Morgan: The most important next step is clear ownership and a timeline.
Sam: I will summarize actions, owners, and risks in the follow-up note."
SYN-010,2026-01-14,external,Mid-Market,synthetic_take_home_bootstrap,"Casey: Thanks for joining. I want to focus on risk, renewal, budget.
Sam: The renewal is at risk because budget is tight and a competitor promised faster onboarding.
Casey: The account manager proposed an executive review and success plan before procurement starts.
Sam: The most important next step is clear ownership and a timeline.
Casey: I will summarize actions, owners, and risks in the follow-up note."
SYN-011,2026-01-15,external,Mid-Market,synthetic_take_home_bootstrap,"Morgan: Thanks for joining. I want to focus on API, roadmap, integration.
Casey: The product works, but the missing API integration limits adoption in finance.
Morgan: The account team captured the feature request and asked product to validate roadmap fit.
Casey: The most important next step is clear ownership and a timeline.
Morgan: I will summarize actions, owners, and risks in the follow-up note."
SYN-012,2026-01-16,internal,Enterprise,synthetic_take_home_bootstrap,"Riley: Thanks for joining. I want to focus on handoff, root cause, ownership.
Devon: Internal teams disagreed on ownership while a high-priority customer escalation aged.
Riley: Engineering, support, and product aligned on the root cause and named a single owner.
Devon: The most important next step is clear ownership and a timeline.
Riley: I will summarize actions, owners, and risks in the follow-up note."
SYN-013,2026-01-17,support,Mid-Market,synthetic_take_home_bootstrap,"Taylor: Thanks for joining. I want to focus on blocked, workflow, export.
Jordan: The approval workflow is powerful, but permissions are confusing for regional admins.
Taylor: Support walked through the configuration and tagged the product team on the export issue.
Jordan: The most important next step is clear ownership and a timeline.
Taylor: I will summarize actions, owners, and risks in the follow-up note."
SYN-014,2026-01-18,internal,Commercial,synthetic_take_home_bootstrap,"Morgan: Thanks for joining. I want to focus on prioritization, deadline, tradeoff.
Riley: The planning discussion centered on tradeoffs between roadmap commitments and reliability work.
Morgan: Leads agreed to reserve capacity for customer-impacting issues and publish the decision log.
Riley: The most important next step is clear ownership and a timeline.
Morgan: I will summarize actions, owners, and risks in the follow-up note."
SYN-015,2026-01-19,internal,Commercial,synthetic_take_home_bootstrap,"Sam: Thanks for joining. I want to focus on escalation, incident, ownership.
Morgan: Internal teams disagreed on ownership while a high-priority customer escalation aged.
Sam: Engineering, support, and product aligned on the root cause and named a single owner.
Morgan: The most important next step is clear ownership and a timeline.
Sam: I will summarize actions, owners, and risks in the follow-up note."
SYN-016,2026-01-20,support,Enterprise,synthetic_take_home_bootstrap,"Jordan: Thanks for joining. I want to focus on escalation, latency, ticket.
Morgan: The dashboard was slow during month-end close and our team opened three tickets.
Jordan: Support confirmed the incident, linked the SLA report, and promised a postmortem.
Morgan: The most important next step is clear ownership and a timeline.
Jordan: I will summarize actions, owners, and risks in the follow-up note."
SYN-017,2026-01-21,external,Commercial,synthetic_take_home_bootstrap,"Sam: Thanks for joining. I want to focus on API, dashboard, roadmap.
Casey: The product works, but the missing API integration limits adoption in finance.
Sam: The account team captured the feature request and asked product to validate roadmap fit.
Casey: The most important next step is clear ownership and a timeline.
Sam: I will summarize actions, owners, and risks in the follow-up note."
SYN-018,2026-01-22,internal,Enterprise,synthetic_take_home_bootstrap,"Jordan: Thanks for joining. I want to focus on recommendation, trend, insight.
Sam: Product managers reviewed recurring feedback and found repeated friction in onboarding.
Jordan: The team grouped customer evidence by product area and created recommendations for the next sprint.
Sam: The most important next step is clear ownership and a timeline.
Jordan: I will summarize actions, owners, and risks in the follow-up note."
