transcript_id,call_type,topic,secondary_topic,topic_confidence,topic_margin,review_reason,evidence_terms,transcript_excerpt
01KQ0CAE7F064EC93F0540CA,internal,Comply / Audit Readiness,Internal Execution / Planning,0.09,0,Low margin between primary and secondary topic,comply; iso 27001,"Chris Lee: Alright, I think we've got everyone on now — Tom, you there? Tom Bradley: Yeah, I'm here, sorry — had to jump off another call, go ahead. Chris Lee: No worries. Okay, so usual format — let's do a quick status "
01KQ1DCC80852AE384C898C9,external,Renewal / Commercial Risk,Detect Reliability / Incident Response,0.28,15,Low topic confidence,renewal; competitive; competitor; pricing; budget,"Maria Santos: Hi Brianna, thanks for making time today — I know you're probably slammed this week. Brianna Foster: Yeah, honestly it's been a rough couple of weeks, but, um, we needed to have this conversation so here we"
01KQ2217B066855A3B7814CB,external,Detect Reliability / Incident Response,Comply / Audit Readiness,0.34,9,Low topic confidence,outage; detect; threat monitoring; incident,"Rachel Torres: Hi Suki, thanks so much for making time for us today, I know your schedule has been pretty packed this week. Suki Nakamura: Yeah, it has been, honestly. Hi Rachel, hi everyone. Lisa Park: Hi Suki, I'm Lisa"
01KQ3D8C1EF16C042F31FAFD,external,Comply / Audit Readiness,Renewal / Commercial Risk,0.10,1,Low margin between primary and secondary topic,comply; compliance; pci dss; audit,"Rachel Torres: Hey Isaac, can you hear us okay? We just hopped on. Isaac Brennan: Yeah, loud and clear. Hey Rachel, hey — is Chris on too? Chris Lee: I'm here, yeah. Hey Isaac, good to finally catch up again. Isaac Brenn"
01KQ3F90FF9EBC3DB3632514,internal,Internal Execution / Planning,Identity / Access Management,0.17,11,Low topic confidence,sprint; planning; retro; design review,"Nina Kowalski: Alright, I think we're all here — let me just pull up the retro board real quick. Tyler Washington: Yeah I'm here, just give me one second, my Slack is going crazy right now. Sofia Petrov: Same, the Detect"
01KQ410FB7E434BA3F99EE7D,external,Renewal / Commercial Risk,Detect Reliability / Incident Response,0.24,11,Low topic confidence,renewal; competitive; contract; displacement,"Aisha Johnson: Alright, I think we're all here — Ryan, Mina, good to see you both, well, hear you both I guess. Ryan Caldwell: Ha, yeah, good to hear you too Aisha, thanks for setting this up. Aisha Johnson: Of course, o"
01KQ45C76AF3AEA6B3EA6697,external,Detect Reliability / Incident Response,Renewal / Commercial Risk,0.25,12,Low topic confidence,outage; detect; threat monitoring; sla; root cause,"Daniel Okafor: Harold, can you hear us okay? I think Sofia just joined as well. Sofia Petrov: Yeah, I'm here. Good connection on my end. Harold Jensen: Yep, I've got you both. Let me just close this other window... okay,"
01KQ45F6F7349D0A620571F1,external,Renewal / Commercial Risk,Detect Reliability / Incident Response,0.13,4,Low topic confidence,renewal; churn; competitive; competitor; contract,"Aisha Johnson: Hi Kendra, thanks for making time today — I know your calendar's been pretty packed lately. Kendra Wallace: Yeah, it has been, honestly. We're in the middle of a platform migration on top of everything els"
01KQ560FF1570C5E7F71D752,external,Protect / Backup Recovery,Customer Onboarding / Expansion,0.33,12,Low topic confidence,protect; backup; recovery,"Kevin O'Brien: Hey Vanessa, good morning! Can you hear me okay? Vanessa Cruz: Yes! Hi Kevin, I can hear you perfectly. Good morning — thanks for making time for this. Kevin O'Brien: Of course, of course. I've been lookin"
01KQ56AA6B60801ABC01AB1C,support,Comply / Audit Readiness,Detect Reliability / Incident Response,0.15,3,Low topic confidence,comply; compliance; compliance reporting; multi-framework,"Sarah Chen: Hi, thanks for joining — this is Sarah Chen from Aegis Cloud Security support, I have Marcus Williams here with me as well. Can I confirm I have Ajay Mehta and Natalie Simmons from Clearwater Medical on the l"
